room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
11151227,17916345,Entire home/apt,Gentofte,18,5,2,1,62,1,A very cosy apartment for 2 people,55.749819,12.518104,6/04/2018
3715318,17753254,Entire home/apt,Haderslev,18,5,2,1,55,1,BBB - Bukholm Bed & Breakfast,55.207257,9.680725,6/04/2018
7032956,36871231,Entire home/apt,Ringkøbing-Skjern,15,4.5,4,2,69,1,Beautiful flat near the beach,55.942573,8.158135,6/04/2018
14727433,91688786,Private room,Aarhus,13,5,2,1,44,1,Hyggligt værelse i Århus omegn,56.126266,10.113912,6/04/2018
10751010,26059824,Private room,København,14,4.5,2,1,35,1,Cosy room in Central Amager,55.664305,12.615795,6/04/2018
14895558,93479273,Entire home/apt,Aarhus,21,5,2,1,39,1,Hyggelig lille lejlighed.,56.176052,10.198777,6/04/2018
3397895,16246634,Entire home/apt,København,18,4.5,4,2,185,1,Nice and cozy apartment w/ balcony,55.693558,12.550561,6/04/2018
4012606,20804126,Entire home/apt,København,21,5,4,2,303,1,"City Center next to Tivoli, Nyhavn/ Silent Luxury.",55.675992,12.57452,6/04/2018
5273055,24027036,Entire home/apt,Bornholm,31,5,11,4,238,1,Large cottage in the first row,54.995885,15.050866,6/04/2018
6236486,6934621,Entire home/apt,Aarhus,27,4.5,3,1,42,1,Trendy 2 room apt,56.155657,10.180759,6/04/2018
1207808,6596782,Entire home/apt,Frederikshavn,27,4.5,6,3,202,1,Charming 3 bedroom house in Skagen,57.723804,10.590237,6/04/2018
16706252,48969334,Private room,København,22,5,2,1,77,1,Central Train Station - Heart of Copenhagen,55.669903,12.565992,6/04/2018
7068501,22994407,Entire home/apt,København,14,5,2,1,124,1,"Spacious, quiet & walking distance to city centre",55.668062,12.594503,6/04/2018
8590022,13694502,Entire home/apt,København,18,5,2,1,155,1,"Intimate Nørrebro Penthouse, Central by the Lakes",55.685034,12.55647,6/04/2018
15429608,65071273,Private room,Aarhus,17,4.5,2,1,45,1,A cosy room in the northern part of Aarhus (1),56.180549,10.190413,6/04/2018
1102876,4724716,Private room,Frederiksberg,27,4.5,2,1,55,1,Centralt beliggende værelse.,55.696239,12.534699,6/04/2018
8209968,43291982,Private room,København,28,5,2,1,85,1,Artist apartment in the city center,55.682717,12.565028,7/04/2018
13095676,22189768,Entire home/apt,København,14,5,6,3,310,1,Charming townhouse at the lake in the city center,55.6914,12.573048,7/04/2018
13710192,6353371,Private room,København,23,5,2,1,87,1,Enjoy the houseboat life,55.696535,12.610205,7/04/2018
1000108,2023703,Entire home/apt,Frederiksberg,25,4.5,3,1,108,1,Stay in the heart of Frederiksberg,55.684239,12.532744,7/04/2018
5200266,9266401,Entire home/apt,København,29,5,2,2,70,1,Cozy apartment in amazing Nørrebro,55.700424,12.546845,7/04/2018
246942,1295169,Private room,København,25,5,2,1,87,1,Right Smack..middle of Copenhagen.,55.676233,12.598233,7/04/2018
2244673,11465309,Entire home/apt,Hillerød,18,4.5,2,1,71,1,"Cozy, Lovely and Central Apartment",55.931162,12.31283,7/04/2018
17017502,6402822,Entire home/apt,København,34,5,4,1,206,1,Absolute city center. 20min from airport w/metro!,55.682239,12.574106,7/04/2018
5249456,8918855,Private room,Varde,29,4.5,2,1,62,1,Blaabjerghus.,55.735703,8.266993,7/04/2018
7685464,20138859,Entire home/apt,Varde,14,4.5,6,2,93,1,Summer House - Danish West coast,55.633601,8.193207,7/04/2018
13207673,5027056,Entire home/apt,Bornholm,23,5,3,0,55,1,Garden cottage at the sea,55.114953,14.702831,7/04/2018
15319918,45122739,Entire home/apt,København,22,5,8,4,186,1,Large 2 story apartment in Copenhagen,55.649171,12.614256,7/04/2018
9165381,10620179,Entire home/apt,København,18,4.5,2,1,77,1,Karakterfuld lejlighed med have,55.648124,12.534398,7/04/2018
2040427,10465925,Entire home/apt,Kerteminde,18,4.5,4,1,74,1,Sommerhus  ved vandet,55.519143,10.628978,7/04/2018
15031564,86499836,Entire home/apt,Fredericia,21,4.5,3,2,45,1,Countrystyle living - central and quite,55.521891,9.726598,7/04/2018
6250099,32460405,Entire home/apt,Jammerbugt,33,4.5,4,2,62,1,Egen sti til strand og tæt på byen,57.255696,9.585404,7/04/2018
6360479,33136525,Entire home/apt,København,19,5,4,3,264,1,"Beautiful, spacious and spectacular location",55.685218,12.571122,7/04/2018
13809120,81063820,Private room,Aarhus,18,4.5,4,1,46,1,Værelse i 135 kvm lejlighed på Kystvejen!!!,56.159834,10.213257,7/04/2018
528919,2598541,Entire home/apt,København,23,4.5,4,3,132,1,"Nice, central, 4 room flat near sea",55.712031,12.571107,7/04/2018
2505649,1964219,Entire home/apt,København,23,5,5,3,233,1,Large apartment in trendy Vesterbro,55.672394,12.553956,7/04/2018
7166618,33797269,Entire home/apt,København,26,5,4,1,144,1,In the heart of Copenhagen â™¥,55.699016,12.576086,7/04/2018
2761193,7382424,Entire home/apt,Odense,18,4.5,2,1,93,1,Rar lejlighed i latinerkvarteret...,55.389974,10.394968,8/04/2018
10468610,6697088,Entire home/apt,København,18,4.5,4,1,153,1,"Big, cheap and top review apartment, Nørrebro st",55.699731,12.536128,8/04/2018
7862633,32471896,Private room,Odense,26,5,2,1,45,1,minor Dbl. room with two beds,55.364573,10.361341,8/04/2018
6230060,32321855,Entire home/apt,Aalborg,26,5,4,2,62,1,Lille sommerhus i Dokkedal,56.89598,10.259514,8/04/2018
3212395,10698821,Entire home/apt,Vordingborg,21,4,5,3,85,1,Summer house in the forest,55.046776,12.249334,8/04/2018
5902109,29060387,Entire home/apt,Viborg,19,5,6,3,108,1,Wonderful house with a niece view,56.534798,9.328982,8/04/2018
13076901,25054945,Entire home/apt,København,15,5,2,1,101,1,Great apartment for two located in trendy Nørrebro,55.696986,12.539609,8/04/2018
768646,126777,Entire home/apt,København,34,5,6,2,163,1,"Architectural icon by ""B.I.G.""",55.633692,12.582807,8/04/2018
948955,5145061,Private room,København,18,4.5,2,1,93,1,Stylish B&B Near the City Hall #3,55.672537,12.486939,8/04/2018
13838459,81645217,Entire home/apt,Tønder,21,5,6,3,62,1,sommerhus i Arrild,55.158483,8.93639,8/04/2018
